# power spectrum of chi
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.519456e-01   1.184269e-23   2.473498e-04   6.728923e-25   336
  3.531645e-01   1.094949e-23   2.727931e-04   9.050457e-25   198
  3.543067e-01   1.148732e-23   2.652756e-04   5.341597e-25   432
  3.556041e-01   1.506771e-23   0.000000e+00   2.380885e-24   48
  3.562810e-01   1.088684e-23   2.341925e-04   5.539414e-25   384
  3.574963e-01   9.490649e-24   2.696052e-04   8.140137e-25   144
  3.585975e-01   1.177836e-23   2.676825e-04   7.354980e-25   264
  3.599147e-01   9.023895e-24   0.000000e+00   1.162891e-24   48
  3.607984e-01   1.123962e-23   2.545223e-04   6.752714e-25   276
  3.616510e-01   1.114028e-23   2.307176e-04   8.772528e-25   192
  3.627906e-01   1.012685e-23   2.592759e-04   4.200109e-25   552
  3.641741e-01   1.117900e-23   8.991328e-09   1.022820e-24   120
  3.649965e-01   7.999665e-24   2.624511e-04   5.666488e-25   216
  3.657587e-01   1.098138e-23   4.495664e-09   1.056878e-24   120
  3.671201e-01   9.152903e-24   2.584500e-04   4.151169e-25   408
  3.683844e-01   6.919104e-24   5.619580e-09   1.219591e-24   24
  3.691684e-01   9.723030e-24   2.610810e-04   5.319640e-25   384
  3.702633e-01   7.544678e-24   2.550855e-04   5.765452e-25   240
  3.712141e-01   7.847692e-24   2.569535e-04   6.036078e-25   168
  3.725471e-01   6.548491e-24   6.357829e-09   5.694464e-25   120
  3.734064e-01   7.806807e-24   2.678605e-04   4.161260e-25   350
  3.748037e-01   8.864090e-24   4.409502e-04   4.564540e-25   384
  3.756388e-01   8.386475e-24   0.000000e+00   7.204870e-25   144
  3.771752e-01   8.219746e-24   1.059638e-08   6.087479e-25   288
  3.779773e-01   7.836193e-24   2.524053e-04   4.495512e-25   336
  3.790686e-01   8.513205e-24   2.297941e-04   6.509097e-25   168
  3.797219e-01   8.393477e-24   4.541306e-09   5.164858e-25   336
  3.810732e-01   6.677948e-24   2.385126e-04   4.098485e-25   288
  3.818848e-01   8.390985e-24   2.247398e-04   6.230429e-25   264
  3.832590e-01   6.776346e-24   0.000000e+00   4.449374e-25   240
  3.837616e-01   8.427892e-24   7.947286e-09   8.516662e-25   96
  3.855656e-01   7.077458e-24   3.056310e-04   3.617480e-25   360
  3.864075e-01   8.026816e-24   2.253025e-04   6.609273e-25   168
  3.874713e-01   6.804003e-24   2.456032e-04   3.580159e-25   456
  3.887523e-01   7.491111e-24   7.064254e-09   7.106514e-25   108
  3.894728e-01   5.552523e-24   2.464311e-04   3.609527e-25   264
  3.903716e-01   5.557238e-24   2.198567e-04   3.284209e-25   264
  3.916025e-01   7.345036e-24   2.074668e-04   5.341374e-25   312
  3.931351e-01   6.208582e-24   1.541705e-04   4.476411e-25   270
  3.937775e-01   7.038695e-24   1.957388e-04   4.679712e-25   240
  3.949323e-01   5.059958e-24   2.421536e-04   2.718871e-25   384
  3.956334e-01   4.850249e-24   0.000000e+00   3.502092e-25   192
  3.969952e-01   5.274962e-24   1.942960e-04   3.661065e-25   240
  3.977852e-01   5.465039e-24   2.397927e-04   3.503741e-25   336
  3.992708e-01   5.630326e-24   2.413972e-04   2.504140e-25   480
  4.004761e-01   6.069138e-24   0.000000e+00   6.980763e-25   72
  4.011493e-01   4.998713e-24   2.353842e-04   3.472649e-25   240
  4.020650e-01   4.961998e-24   2.212289e-04   3.423093e-25   312
  4.031147e-01   4.070011e-24   2.390954e-04   2.404689e-25   240
  4.047009e-01   5.467418e-24   1.816506e-04   2.819959e-25   408
  4.053288e-01   5.086129e-24   1.663482e-04   2.690593e-25   336
  4.065560e-01   5.171172e-24   2.112212e-04   3.157559e-25   264
  4.071591e-01   4.627502e-24   0.000000e+00   3.474213e-25   144
  4.088370e-01   4.423517e-24   2.927651e-04   2.139266e-25   464
  4.097211e-01   3.842176e-24   2.328083e-04   3.846365e-25   168
  4.105939e-01   4.481372e-24   2.120376e-04   2.317516e-25   336
  4.121713e-01   4.569174e-24   2.227870e-04   2.359488e-25   414
  4.130606e-01   4.622115e-24   2.319080e-04   3.416844e-25   216
  4.141998e-01   7.433716e-24   5.619580e-09   7.771375e-25   96
  4.146649e-01   3.821224e-24   1.685874e-08   1.767958e-25   384
  4.162944e-01   4.278820e-24   2.314600e-04   1.963595e-25   492
  4.171676e-01   4.632711e-24   2.263480e-04   3.195042e-25   240
  4.181546e-01   4.253103e-24   2.298225e-04   2.538561e-25   312
  4.195176e-01   3.267658e-24   2.297469e-04   2.569355e-25   192
  4.203810e-01   3.346419e-24   2.226525e-04   1.568218e-25   504
  4.215265e-01   4.109727e-24   1.473998e-04   2.310151e-25   408
  4.224284e-01   3.503417e-24   4.515774e-04   2.513068e-25   168
  4.235571e-01   4.325946e-24   2.145032e-04   2.387788e-25   288
  4.245041e-01   3.516281e-24   2.238525e-04   1.967606e-25   288
  4.254743e-01   3.537688e-24   2.251410e-04   2.006388e-25   432
  4.268815e-01   3.595754e-24   2.129084e-04   2.593619e-25   216
  4.276334e-01   2.936364e-24   2.124592e-04   1.802102e-25   360
  4.289721e-01   3.367709e-24   2.073582e-04   2.248186e-25   312
  4.301803e-01   3.021296e-24   0.000000e+00   3.391277e-25   48
  4.308767e-01   3.607643e-24   2.223178e-04   1.833882e-25   432
  4.321240e-01   3.103387e-24   3.708284e-04   1.590715e-25   414
  4.328606e-01   3.333499e-24   1.956255e-08   1.840335e-25   312
