# power spectrum of B
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.969952e-01   2.383661e-18   1.942960e-04   1.344896e-19   240
  3.977852e-01   2.094136e-18   2.397927e-04   1.278556e-19   336
  3.992708e-01   2.223028e-18   2.413972e-04   1.010733e-19   480
  4.004761e-01   2.354056e-18   0.000000e+00   2.830230e-19   72
  4.011493e-01   2.384649e-18   2.353842e-04   1.885187e-19   240
  4.020650e-01   1.985729e-18   2.212289e-04   1.174453e-19   312
  4.031147e-01   1.448553e-18   2.390954e-04   6.643051e-20   240
  4.047009e-01   1.918700e-18   1.816506e-04   8.335913e-20   408
  4.053288e-01   1.753353e-18   1.663482e-04   9.252113e-20   336
  4.065560e-01   2.025638e-18   2.112212e-04   1.164208e-19   264
  4.071591e-01   1.153097e-18   0.000000e+00   7.441593e-20   144
  4.088370e-01   1.647687e-18   2.927651e-04   6.321842e-20   464
  4.097211e-01   1.835513e-18   2.328083e-04   1.270208e-19   168
  4.105939e-01   1.466523e-18   2.120376e-04   9.513736e-20   336
  4.121713e-01   1.791580e-18   2.227870e-04   7.602734e-20   414
  4.130606e-01   2.228867e-18   2.319080e-04   1.709740e-19   216
  4.141998e-01   2.933988e-18   5.619580e-09   2.284487e-19   96
  4.146649e-01   1.781983e-18   1.685874e-08   1.026096e-19   384
  4.162944e-01   1.784871e-18   2.314600e-04   7.742078e-20   492
  4.171676e-01   2.098085e-18   2.263480e-04   1.251677e-19   240
  4.181546e-01   1.922481e-18   2.298225e-04   9.987364e-20   312
  4.195176e-01   1.366011e-18   2.297469e-04   1.175584e-19   192
  4.203810e-01   1.643390e-18   2.226525e-04   7.972905e-20   504
  4.215265e-01   1.645250e-18   1.473998e-04   9.159595e-20   408
  4.224284e-01   1.395838e-18   4.515774e-04   9.115679e-20   168
  4.235571e-01   2.195524e-18   2.145032e-04   1.282150e-19   288
  4.245041e-01   1.799828e-18   2.238525e-04   1.090159e-19   288
  4.254743e-01   1.379127e-18   2.251410e-04   5.766100e-20   432
  4.268815e-01   1.420649e-18   2.129084e-04   8.664901e-20   216
  4.276334e-01   1.351845e-18   2.124592e-04   6.812546e-20   360
  4.289721e-01   1.465428e-18   2.073582e-04   6.913766e-20   312
  4.301803e-01   1.527302e-18   0.000000e+00   1.506363e-19   48
  4.308767e-01   1.497957e-18   2.223178e-04   7.266565e-20   432
  4.321240e-01   1.345072e-18   3.708284e-04   5.805760e-20   414
  4.328606e-01   1.521407e-18   1.956255e-08   8.550215e-20   312
  4.342347e-01   1.565724e-18   3.253813e-04   7.188312e-20   528
  4.351620e-01   1.629928e-18   1.707976e-04   8.620447e-20   264
  4.362761e-01   1.642081e-18   2.025191e-04   8.447525e-20   480
  4.377318e-01   1.525944e-18   0.000000e+00   1.096136e-19   288
  4.383604e-01   1.499502e-18   2.176005e-04   9.517468e-20   168
  4.395105e-01   1.922337e-18   3.444610e-04   9.542358e-20   504
  4.408036e-01   2.101001e-18   7.492773e-09   1.645995e-19   144
  4.416171e-01   1.247883e-18   2.212265e-04   4.880119e-20   464
  4.428396e-01   1.490442e-18   3.246624e-04   9.153048e-20   432
  4.434197e-01   1.302908e-18   5.619580e-09   8.770722e-20   192
  4.449189e-01   1.383344e-18   2.406833e-04   6.999961e-20   396
  4.458042e-01   1.196499e-18   2.162000e-04   7.711648e-20   288
  4.466990e-01   1.177435e-18   2.135686e-04   6.972830e-20   336
  4.481283e-01   1.372204e-18   1.352359e-04   7.072410e-20   432
  4.490354e-01   1.166261e-18   3.505126e-04   5.824498e-20   360
  4.500539e-01   1.449077e-18   2.073334e-04   6.895999e-20   384
  4.515004e-01   1.391891e-18   1.830116e-04   1.153097e-19   198
  4.521974e-01   1.219571e-18   2.080246e-04   5.733351e-20   552
  4.534970e-01   1.647024e-18   2.912202e-04   1.034512e-19   432
  4.545821e-01   1.197697e-18   0.000000e+00   1.113779e-19   168
  4.554927e-01   1.514304e-18   3.610065e-04   7.437695e-20   480
  4.566974e-01   1.026829e-18   0.000000e+00   7.908134e-20   120
  4.572396e-01   1.473545e-18   2.948545e-04   1.019041e-19   336
  4.585628e-01   1.153644e-18   2.080152e-04   4.658012e-20   672
  4.598711e-01   1.458721e-18   3.025866e-04   6.620388e-20   528
